script,runtime,timestamp,model,dataset,device,dtype,samples,batch_size,resolution,steps,warmup,seed,threads,compile,compile_detail,cpu_offload,batched,loaded_dtype,diffusion_batch_size,sla_seconds,sla_percentile,num_shards,gpu_placement,images,compute_s_max,compute_s_sum,images_per_second,avg_ms_per_image,avg_s_per_image,denoising_steps_per_s,top1_correct,top1_accuracy,max_concurrent_users,shard_images,shard_compute_s,shard_images_per_second,files
dit_benchmark_cpuOffload,diffusers,20260827_002152,Efficient-Large-Model/Sana_1600M_1024px_diffusers,,cpu,float32,100,,1024x1024,20,,,32,disabled,,auto,,,,,,2,,100,2828.5099,5613.9073,0.0354,28285.099,28.2851,0.7071,,,,50|50,2828.5099|2785.3974,0.017677|0.017951,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_1600M_1024px_diffusers_20260827_002152_shard0of2.txt|dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_1600M_1024px_diffusers_20260827_002152_shard1of2.txt
dit_benchmark_cpuOffload,diffusers,20260827_011150,Efficient-Large-Model/Sana_1600M_1024px_diffusers,,cpu,bfloat16,100,,1024x1024,20,,,32,enabled,torch.compile on the transformer submodule,auto,,,,,,2,,100,2404.1137,4752.8491,0.0416,24041.137,24.0411,0.8319,,,,50|50,2404.1137|2348.7354,0.020798|0.021288,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_1600M_1024px_diffusers_20260827_011150_shard0of2.txt|dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_1600M_1024px_diffusers_20260827_011150_shard1of2.txt
vit_benchmark,diffusers,20260827_022504,facebook/dinov2-giant,ILSVRC/imagenet-1k,cpu,float32,1000,8,,,,,32,disabled,,,,,,,,2,,1000,115.6250,228.0362,8.6486,115.625,0.1156,,,N/A,,500|500,112.4112|115.6250,4.448|4.324,vit_benchmark_facebook_dinov2-giant_20260827_022504_shard0of2.txt|vit_benchmark_facebook_dinov2-giant_20260827_022504_shard1of2.txt
vit_benchmark,diffusers,20260827_022715,facebook/dinov2-giant,ILSVRC/imagenet-1k,cpu,bfloat16,1000,8,,,,,32,enabled,,,,,,,,2,,1000,40.4023,76.7352,24.7511,40.402,0.0404,,,N/A,,500|500,36.3329|40.4023,13.762|12.376,vit_benchmark_facebook_dinov2-giant_20260827_022715_shard0of2.txt|vit_benchmark_facebook_dinov2-giant_20260827_022715_shard1of2.txt
vit_benchmark,diffusers,20260827_022818,facebook/dinov2-giant,ILSVRC/imagenet-1k,cuda,float32,1000,8,,,,,32,disabled,,,,,,,,2,,1000,85.2624,170.1061,11.7285,85.262,0.0853,,,N/A,,500|500,84.8437|85.2624,5.893|5.864,vit_benchmark_facebook_dinov2-giant_20260827_022818_shard0of2.txt|vit_benchmark_facebook_dinov2-giant_20260827_022818_shard1of2.txt
vit_benchmark,diffusers,20260827_135633,google/vit-large-patch16-224,ILSVRC/imagenet-1k,cpu,float32,1000,8,,,,,32,disabled,,,,,,,,2,,1000,22.0359,43.7736,45.3805,22.036,0.0220,,800,0.8000,,500|500,21.7377|22.0359,23.002|22.690,vit_benchmark_google_vit-large-patch16-224_20260827_135633_shard0of2.txt|vit_benchmark_google_vit-large-patch16-224_20260827_135633_shard1of2.txt
vit_benchmark,diffusers,20260827_135705,google/vit-large-patch16-224,ILSVRC/imagenet-1k,cpu,bfloat16,1000,8,,,,,32,enabled,,,,,,,,2,,1000,9.7912,19.3007,102.1325,9.791,0.0098,,800,0.8000,,500|500,9.5095|9.7912,52.579|51.066,vit_benchmark_google_vit-large-patch16-224_20260827_135705_shard0of2.txt|vit_benchmark_google_vit-large-patch16-224_20260827_135705_shard1of2.txt
vit_benchmark,diffusers,20260827_135733,google/vit-large-patch16-224,ILSVRC/imagenet-1k,cuda,float32,1000,8,,,,,32,disabled,,,,,,,,2,,1000,16.0155,31.9625,62.4395,16.015,0.0160,,800,0.8000,,500|500,16.0155|15.9470,31.220|31.354,vit_benchmark_google_vit-large-patch16-224_20260827_135733_shard0of2.txt|vit_benchmark_google_vit-large-patch16-224_20260827_135734_shard1of2.txt
dit_benchmark_cpuOffload,diffusers,20260827_135952,PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,,cpu,float32,100,,1024x1024,20,,,32,disabled,,auto,,,,,,2,,100,8770.3623,17429.8582,0.0114,87703.623,87.7036,0.2280,,,,50|50,8659.4959|8770.3623,0.005774|0.005701,dit_benchmark_cpuOffload_PixArt-alpha_PixArt-Sigma-XL-2-1024-MS_20260827_135952_shard0of2.txt|dit_benchmark_cpuOffload_PixArt-alpha_PixArt-Sigma-XL-2-1024-MS_20260827_135952_shard1of2.txt
dit_benchmark_cpuOffload,diffusers,20260827_163454,PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,,cpu,bfloat16,100,,1024x1024,20,,,32,enabled,torch.compile on the transformer submodule,auto,,,,,,2,,100,6347.4732,12645.0880,0.0158,63474.732,63.4747,0.3151,,,,50|50,6297.6148|6347.4732,0.007940|0.007877,dit_benchmark_cpuOffload_PixArt-alpha_PixArt-Sigma-XL-2-1024-MS_20260827_163454_shard0of2.txt|dit_benchmark_cpuOffload_PixArt-alpha_PixArt-Sigma-XL-2-1024-MS_20260827_163454_shard1of2.txt
vit_benchmark,diffusers,20260827_182958,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cpu,float32,1000,8,,,,,32,disabled,,,,,,,,2,,1000,7.4348,14.8254,134.5026,7.435,0.0074,,799,0.7990,,500|500,7.3906|7.4348,67.654|67.252,vit_benchmark_google_vit-base-patch16-224_20260827_182958_shard0of2.txt|vit_benchmark_google_vit-base-patch16-224_20260827_182958_shard1of2.txt
vit_benchmark,diffusers,20260827_183014,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cpu,bfloat16,1000,8,,,,,32,enabled,,,,,,,,2,,1000,2.5400,4.9165,393.7008,2.540,0.0025,,795,0.7950,,500|500,2.5400|2.3765,196.847|210.397,vit_benchmark_google_vit-base-patch16-224_20260827_183014_shard0of2.txt|vit_benchmark_google_vit-base-patch16-224_20260827_183014_shard1of2.txt
vit_benchmark,diffusers,20260827_183032,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cuda,float32,1000,8,,,,,32,disabled,,,,,,,,2,,1000,4.3516,8.6325,229.8005,4.352,0.0044,,799,0.7990,,500|500,4.2809|4.3516,116.798|114.899,vit_benchmark_google_vit-base-patch16-224_20260827_183032_shard0of2.txt|vit_benchmark_google_vit-base-patch16-224_20260827_183032_shard1of2.txt
dit_benchmark_cpuOffload,diffusers,20260827_184548,PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,,cuda,float32,100,,1024x1024,20,,,32,disabled,,auto,,,,,,1,"full pipeline OOM'd, falling back to model CPU offload",100,5199.6648,5199.6648,0.0192,51996.648,51.9966,0.3846,,,,100,5199.6648,0.019232,dit_benchmark_cpuOffload_PixArt-alpha_PixArt-Sigma-XL-2-1024-MS_20260827_184548.txt
dit_benchmark_cpuOffload,diffusers,20260827_203348,Efficient-Large-Model/Sana_600M_1024px_diffusers,,cpu,float32,100,,1024x1024,20,3,42,32,disabled,,auto,,,,,,2,,100,1471.9814,2909.4555,0.0679,14719.814,14.7198,1.3587,,,,50|50,1437.4741|1471.9814,0.034783|0.033968,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260827_203348_shard0of2.txt|dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260827_203348_shard1of2.txt
dit_benchmark_cpuOffload,diffusers,20260827_205956,Efficient-Large-Model/Sana_600M_1024px_diffusers,,cpu,bfloat16,100,,1024x1024,20,3,42,32,enabled,torch.compile on the transformer submodule,auto,,,,,,2,,100,1288.6389,2512.4073,0.0776,12886.389,12.8864,1.5520,,,,50|50,1223.7684|1288.6389,0.040857|0.038801,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260827_205956_shard0of2.txt|dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260827_205956_shard1of2.txt
dit_benchmark_cpuOffload,diffusers,20260827_212322,Efficient-Large-Model/Sana_600M_1024px_diffusers,,cuda,float32,100,,1024x1024,20,3,42,32,disabled,,auto,,,,,,1,full pipeline resident on GPU,100,650.4904,650.4904,0.1537,6504.904,6.5049,3.0746,,,,100,650.4904,0.153730,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260827_212322.txt
dit_benchmark_cpuOffload,diffusers,20260827_214621,Efficient-Large-Model/Sana_1600M_1024px_diffusers,,cuda,float32,100,,1024x1024,20,3,42,32,disabled,,auto,,,,,,1,full pipeline resident on GPU,100,1251.7801,1251.7801,0.0799,12517.801,12.5178,1.5977,,,,100,1251.7801,0.079886,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_1600M_1024px_diffusers_20260827_214621.txt
vit_benchmark,diffusers,20260828_001447,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cuda,bfloat16,1000,8,,,3,,32,disabled,,,,,,,,1,,1000,0.8072,0.8072,1238.8503,0.807,0.0008,,797,0.7970,,1000,0.8072,1238.908,vit_benchmark_google_vit-base-patch16-224_20260828_001447.txt
vit_benchmark,diffusers,20260828_001458,google/vit-large-patch16-224,ILSVRC/imagenet-1k,cuda,bfloat16,1000,8,,,3,,32,disabled,,,,,,,,1,,1000,2.4482,2.4482,408.4634,2.448,0.0024,,799,0.7990,,1000,2.4482,408.469,vit_benchmark_google_vit-large-patch16-224_20260828_001458.txt
vit_benchmark,diffusers,20260828_001511,facebook/dinov2-giant,ILSVRC/imagenet-1k,cuda,bfloat16,1000,8,,,3,,32,disabled,,,,,,,,1,,1000,13.8910,13.8910,71.9891,13.891,0.0139,,,N/A,,1000,13.8910,71.989,vit_benchmark_facebook_dinov2-giant_20260828_001511.txt
dit_benchmark_cpuOffload,diffusers,20260828_001723,Efficient-Large-Model/Sana_600M_1024px_diffusers,,cuda,bfloat16,100,,1024x1024,20,3,42,32,disabled,,auto,,,,,,1,full pipeline resident on GPU,100,650.0918,650.0918,0.1538,6500.918,6.5009,3.0765,,,,100,650.0918,0.153824,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260828_001723.txt
dit_benchmark_cpuOffload,diffusers,20260828_002849,Efficient-Large-Model/Sana_1600M_1024px_diffusers,,cuda,bfloat16,100,,1024x1024,20,3,42,32,disabled,,auto,,,,,,1,full pipeline resident on GPU,100,1252.1795,1252.1795,0.0799,12521.795,12.5218,1.5972,,,,100,1252.1795,0.079861,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_1600M_1024px_diffusers_20260828_002849.txt
dit_benchmark_cpuOffload,diffusers,20260828_005042,PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,,cuda,bfloat16,100,,1024x1024,20,3,42,32,disabled,,auto,,,,,,1,"full pipeline OOM'd, falling back to model CPU offload",100,5186.8973,5186.8973,0.0193,51868.973,51.8690,0.3856,,,,100,5186.8973,0.019279,dit_benchmark_cpuOffload_PixArt-alpha_PixArt-Sigma-XL-2-1024-MS_20260828_005042.txt
dit_benchmark_cpuOffload,diffusers,20260828_134641,Efficient-Large-Model/Sana_600M_1024px_diffusers,,cuda,bfloat16,2,,1024x1024,8,0,42,96,disabled,,auto,,torch.bfloat16,,,,1,full pipeline resident on GPU,2,2.5811,2.5811,0.7749,1290.550,1.2906,6.1989,,,,2,2.5811,0.774872,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260828_134641.txt
dit_benchmark_cpuOffload,diffusers,20260828_134654,Efficient-Large-Model/Sana_600M_1024px_diffusers,,cuda,float32,2,,1024x1024,8,0,42,96,disabled,,auto,,torch.float32,,,,1,full pipeline resident on GPU,2,6.6331,6.6331,0.3015,3316.550,3.3166,2.4121,,,,2,6.6331,0.301519,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260828_134654.txt
dit_benchmark_cpuOffload,diffusers,20260828_134738,Efficient-Large-Model/Sana_600M_1024px_diffusers,,cpu,float32,2,,1024x1024,20,1,42,96,disabled,,auto,,torch.float32,,,,1,,2,104.5441,104.5441,0.0191,52272.050,52.2721,0.3826,,,,2,104.5441,0.019131,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260828_134738.txt
dit_benchmark_cpuOffload,diffusers,20260828_135025,Efficient-Large-Model/Sana_600M_1024px_diffusers,,cpu,bfloat16,2,,1024x1024,20,1,42,96,disabled,,auto,,torch.bfloat16,,,,1,,2,82.4075,82.4075,0.0243,41203.750,41.2037,0.4854,,,,2,82.4075,0.024270,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260828_135025.txt
dit_benchmark_cpuOffload,diffusers,20260828_140946,Efficient-Large-Model/Sana_600M_1024px_diffusers,,cuda,bfloat16,100,,1024x1024,20,3,42,32,disabled,,auto,,torch.bfloat16,,,,1,full pipeline resident on GPU,100,244.3072,244.3072,0.4093,2443.072,2.4431,8.1864,,,,100,244.3072,0.409321,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260828_140946.txt
dit_benchmark_cpuOffload,diffusers,20260828_141409,Efficient-Large-Model/Sana_1600M_1024px_diffusers,,cuda,bfloat16,100,,1024x1024,20,3,42,32,disabled,,auto,,torch.bfloat16,,,,1,full pipeline resident on GPU,100,471.8732,471.8732,0.2119,4718.732,4.7187,4.2384,,,,100,471.8732,0.211921,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_1600M_1024px_diffusers_20260828_141409.txt
dit_benchmark_cpuOffload,diffusers,20260828_142229,PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,,cuda,bfloat16,100,,1024x1024,20,3,42,32,disabled,,auto,,torch.bfloat16,,,,1,full pipeline resident on GPU,100,754.4716,754.4716,0.1325,7544.716,7.5447,2.6509,,,,100,754.4716,0.132543,dit_benchmark_cpuOffload_PixArt-alpha_PixArt-Sigma-XL-2-1024-MS_20260828_142229.txt
dit_benchmark_cpuOffload,diffusers,20260828_144135,Efficient-Large-Model/Sana_600M_1024px_diffusers,,cpu,bfloat16,100,,1024x1024,20,3,42,32,enabled,torch.compile on the transformer submodule,auto,,torch.bfloat16,,,,2,,100,627.9390,1231.8770,0.1593,6279.390,6.2794,3.1850,,,,50|50,603.9380|627.9390,0.082790|0.079626,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260828_144135_shard0of2.txt|dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260828_144135_shard1of2.txt
dit_benchmark_cpuOffload,diffusers,20260828_145331,Efficient-Large-Model/Sana_1600M_1024px_diffusers,,cpu,bfloat16,100,,1024x1024,20,3,42,32,enabled,torch.compile on the transformer submodule,auto,,torch.bfloat16,,,,2,,100,1289.6607,2541.5889,0.0775,12896.607,12.8966,1.5508,,,,50|50,1289.6607|1251.9282,0.038770|0.039938,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_1600M_1024px_diffusers_20260828_145331_shard0of2.txt|dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_1600M_1024px_diffusers_20260828_145331_shard1of2.txt
dit_benchmark_cpuOffload,diffusers,20260828_151708,PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,,cpu,bfloat16,100,,1024x1024,20,3,42,32,enabled,torch.compile on the transformer submodule,auto,,torch.bfloat16,,,,2,,100,1590.2437,3160.5416,0.0629,15902.437,15.9024,1.2577,,,,50|50,1570.2979|1590.2437,0.031841|0.031442,dit_benchmark_cpuOffload_PixArt-alpha_PixArt-Sigma-XL-2-1024-MS_20260828_151708_shard0of2.txt|dit_benchmark_cpuOffload_PixArt-alpha_PixArt-Sigma-XL-2-1024-MS_20260828_151708_shard1of2.txt
dit_benchmark_cpuOffload,diffusers,20260828_180226,Efficient-Large-Model/Sana_600M_1024px_diffusers,,cpu,bfloat16,100,,1024x1024,20,3,42,48,enabled,torch.compile on the transformer submodule,auto,,torch.bfloat16,,,,2,,100,439.4617,862.1273,0.2276,4394.617,4.3946,4.5510,,,,50|50,422.6656|439.4617,0.118297|0.113776,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260828_180226_shard0of2.txt|dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_600M_1024px_diffusers_20260828_180226_shard1of2.txt
dit_benchmark_cpuOffload,diffusers,20260828_181038,PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,,cpu,bfloat16,100,,1024x1024,20,3,42,48,enabled,torch.compile on the transformer submodule,auto,,torch.bfloat16,,,,2,,100,1528.6073,2935.4745,0.0654,15286.073,15.2861,1.3084,,,,50|50,1406.8672|1528.6073,0.035540|0.032710,dit_benchmark_cpuOffload_PixArt-alpha_PixArt-Sigma-XL-2-1024-MS_20260828_181038_shard0of2.txt|dit_benchmark_cpuOffload_PixArt-alpha_PixArt-Sigma-XL-2-1024-MS_20260828_181038_shard1of2.txt
dit_benchmark_cpuOffload,diffusers,20260828_184508,Efficient-Large-Model/Sana_1600M_1024px_diffusers,,cpu,bfloat16,100,,1024x1024,20,3,42,48,enabled,torch.compile on the transformer submodule,auto,,torch.bfloat16,,,,2,,100,1223.7954,2441.6159,0.0817,12237.954,12.2380,1.6343,,,,50|50,1223.7954|1217.8205,0.040857|0.041057,dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_1600M_1024px_diffusers_20260828_184508_shard0of2.txt|dit_benchmark_cpuOffload_Efficient-Large-Model_Sana_1600M_1024px_diffusers_20260828_184508_shard1of2.txt
dit_benchmark_cpuOffload,diffusers,20260828_202602,stabilityai/stable-diffusion-3.5-medium,,cpu,float32,100,,1024x1024,20,3,42,32,disabled,,auto,,torch.float32,,,,2,,100,11626.0984,22668.2998,0.0086,116260.984,116.2610,0.1720,,,,50|50,11042.2014|11626.0984,0.004528|0.004301,dit_benchmark_cpuOffload_stabilityai_stable-diffusion-3.5-medium_20260828_202602_shard0of2.txt|dit_benchmark_cpuOffload_stabilityai_stable-diffusion-3.5-medium_20260828_202602_shard1of2.txt
dit_benchmark_cpuOffload,diffusers,20260828_235201,stabilityai/stable-diffusion-3.5-medium,,cpu,bfloat16,100,,1024x1024,20,3,42,32,enabled,torch.compile on the transformer submodule,auto,,torch.bfloat16,,,,2,,100,3065.7320,5893.3067,0.0326,30657.320,30.6573,0.6524,,,,50|50,2827.5747|3065.7320,0.017683|0.016309,dit_benchmark_cpuOffload_stabilityai_stable-diffusion-3.5-medium_20260828_235201_shard0of2.txt|dit_benchmark_cpuOffload_stabilityai_stable-diffusion-3.5-medium_20260828_235201_shard1of2.txt
dit_benchmark_cpuOffload,diffusers,20260829_004800,stabilityai/stable-diffusion-3.5-medium,,cuda,float32,100,,1024x1024,20,3,42,32,disabled,,auto,,torch.float32,,,,1,"full pipeline OOM'd, falling back to model CPU offload",100,8614.8951,8614.8951,0.0116,86148.951,86.1490,0.2322,,,,100,8614.8951,0.011608,dit_benchmark_cpuOffload_stabilityai_stable-diffusion-3.5-medium_20260829_004800.txt
